Technique ID,Technique Name,Is Sub-Technique,Parent Technique ID,Parent Technique Name,Tactics,Platforms,Data Components,Data Component Count,Log Sources,Log Source Count,Threat Groups Using This Technique,Threat Group Count
T1001,Data Obfuscation,False,,,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Content
Process Creation",3,"NSM:Flow
auditd:SYSCALL
macos:unifiedlog",3,Gamaredon Group,1
T1001.001,Data Obfuscation: Junk Data,True,T1001,Data Obfuscation,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Content
Process Access
Process Creation",4,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
esxi:vmkernel
macos:osquery
macos:unifiedlog",7,APT28,1
T1001.002,Data Obfuscation: Steganography,True,T1001,Data Obfuscation,Command and Control,"ESXi, Linux, Windows, macOS","File Creation
File Metadata
Network Connection Creation
Network Traffic Content
Process Creation",5,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
esxi:vmkernel
macos:osquery
macos:unifiedlog",7,Axiom,1
T1001.003,Data Obfuscation: Protocol or Service Impersonation,True,T1001,Data Obfuscation,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Content
Process Creation
Process Metadata",4,"NSM:Content
NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
macos:osquery
macos:unifiedlog",7,"Higaisa, Lazarus Group, Mustang Panda",3
T1003,OS Credential Dumping,False,,,Credential Access,"Linux, Windows, macOS","Active Directory Object Access
File Access
Process Access
Process Creation
Process Metadata",5,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
macos:keychain
macos:osquery
macos:unifiedlog",6,"APT28, APT32, APT39, Axiom, BlackByte, Ember Bear, Leviathan, Mustang Panda, Poseidon Group, Sowbug, Storm-0501, Suckfly, Tonto Team",13
T1003.001,OS Credential Dumping: LSASS Memory,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Creation
Process Access
Process Creation
User Account Metadata
Windows Registry Key Modification",5,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT1, APT28, APT3, APT32, APT33, APT39, APT41, APT5, Agrius, Aquatic Panda, BRONZE BUTLER, Blue Mockingbird, Cleaver, Earth Lusca, Ember Bear, FIN13, FIN6, FIN8, Fox Kitten, GALLIUM, HAFNIUM, Indrik Spider, Ke3chang, Kimsuky, Leafminer, Leviathan, Magic Hound, Medusa Group, Moonstone Sleet, MuddyWater, Mustang Panda, OilRig, PLATINUM, Play, RedCurl, Sandworm Team, Silence, Threat Group-3390, UNC3886, Volt Typhoon, Whitefly, Wizard Spider",42
T1003.002,OS Credential Dumping: Security Account Manager,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Creation
File Modification
Process Creation
Windows Registry Key Modification",4,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT29, APT41, APT5, Agrius, Daggerfly, Dragonfly, Ember Bear, FIN13, GALLIUM, Ke3chang, Threat Group-3390, Wizard Spider, menuPass",13
T1003.003,OS Credential Dumping: NTDS,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Creation
File Modification
Process Creation
Volume Creation",4,"WinEventLog:Microsoft-Windows-VSS
WinEventLog:Security
WinEventLog:Sysmon",3,"APT28, APT41, Chimera, Dragonfly, FIN13, FIN6, Fox Kitten, HAFNIUM, Ke3chang, LAPSUS$, Medusa Group, Mustang Panda, Sandworm Team, Scattered Spider, Volt Typhoon, Wizard Spider, menuPass",17
T1003.004,OS Credential Dumping: LSA Secrets,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Modification
Module Load
Process Access
Process Creation",4,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT29, APT33, Dragonfly, Ember Bear, Ke3chang, Leafminer, MuddyWater, OilRig, Threat Group-3390, menuPass",10
T1003.005,OS Credential Dumping: Cached Domain Credentials,True,T1003,OS Credential Dumping,Credential Access,"Linux, Windows","File Access
Process Access
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon
auditd:EXECVE
auditd:SYSCALL
linux:osquery",5,"APT33, Leafminer, MuddyWater, OilRig",4
T1003.006,OS Credential Dumping: DCSync,True,T1003,OS Credential Dumping,Credential Access,Windows,"Active Directory Object Access
Active Directory Object Deletion
Network Traffic Content",3,"NSM:Content
WinEventLog:Security",2,"Earth Lusca, LAPSUS$, Mustang Panda, Storm-0501",4
T1003.007,OS Credential Dumping: Proc Filesystem,True,T1003,OS Credential Dumping,Credential Access,Linux,"File Access
File Modification
Process Access
Process Creation",4,"auditd:SYSCALL
linux:Sysmon",2,,0
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,True,T1003,OS Credential Dumping,Credential Access,Linux,"File Access
Process Creation",2,auditd:SYSCALL,1,,0
T1005,Data from Local System,False,,,Collection,"ESXi, Linux, Network Devices, Windows, macOS","Command Execution
File Access
File Creation
Process Creation",4,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
esxis:vmkernel
fs:fsusage
macos:unifiedlog
networkdevice:cli",8,"APT1, APT28, APT29, APT3, APT37, APT38, APT39, APT41, Agrius, Andariel, Aquatic Panda, Axiom, BRONZE BUTLER, CURIUM, Dark Caracal, Dragonfly, Ember Bear, FIN13, FIN6, FIN7, Fox Kitten, GALLIUM, Gamaredon Group, HAFNIUM, Inception, Ke3chang, Kimsuky, LAPSUS$, Lazarus Group, LuminousMoth, Magic Hound, OilRig, Patchwork, RedCurl, Sandworm Team, Stealth Falcon, Threat Group-3390, ToddyCat, Turla, Volt Typhoon, Windigo, Wizard Spider, menuPass",43
T1006,Direct Volume Access,False,,,Defense Evasion,"Network Devices, Windows","Command Execution
Process Access
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon
networkdevice:cli",3,"Scattered Spider, Volt Typhoon",2
T1007,System Service Discovery,False,,,Discovery,"Linux, Windows, macOS","Command Execution
Process Creation",2,"WinEventLog:PowerShell
WinEventLog:Security
auditd:EXECVE
macos:osquery
macos:unifiedlog",5,"APT1, Aquatic Panda, BRONZE BUTLER, Chimera, Earth Lusca, Indrik Spider, Ke3chang, Kimsuky, OilRig, Poseidon Group, TeamTNT, Turla, Volt Typhoon, admin@338",14
T1008,Fallback Channels,False,,,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Flow",2,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:vmkernel
esxi:vpxd
macos:unifiedlog",6,"APT41, FIN7, Lazarus Group, OilRig, UNC3886",5
T1010,Application Window Discovery,False,,,Discovery,"Linux, Windows, macOS","Command Execution
OS API Execution
Process Access
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon
auditd:EXECVE
linus:syslog
macos:osquery
macos:unifiedlog",6,"HEXANE, Lazarus Group, Volt Typhoon",3
T1011,Exfiltration Over Other Network Medium,False,,,Exfiltration,"Linux, Windows, macOS","Command Execution
File Creation
Host Status
Network Connection Creation
Network Traffic Content
Network Traffic Flow
Process Creation",7,"NSM:Flow
WinEventLog:Sysmon
WinEventLog:System
auditd:SYSCALL
macos:osquery
macos:unifiedlog",6,,0
T1011.001,Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth,True,T1011,Exfiltration Over Other Network Medium,Exfiltration,"Linux, Windows, macOS","Command Execution
File Access
File Creation
Network Connection Creation
Process Creation",5,"WinEventLog:Sysmon
WinEventLog:System
auditd:SYSCALL
linux:osquery
linux:syslog
macos:osquery
macos:unifiedlog",7,,0
T1012,Query Registry,False,,,Discovery,Windows,"Command Execution
Process Creation
Windows Registry Key Modification",3,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,"APT32, APT39, APT41, BlackByte, Chimera, Daggerfly, Dragonfly, Fox Kitten, Gamaredon Group, Indrik Spider, Kimsuky, Lazarus Group, Lotus Blossom, OilRig, Stealth Falcon, Threat Group-3390, Turla, Volt Typhoon, ZIRCONIUM",19
T1014,Rootkit,False,,,Defense Evasion,"Linux, Windows, macOS","Driver Load
File Creation
File Modification
Module Load
Process Creation
Service Creation",6,"WinEventLog:Sysmon
WinEventLog:System
auditd:EXECVE
fs:fsevents
linux:osquery
linux:syslog
macos:osquery
macos:unifiedlog",8,"APT28, APT41, Rocke, TeamTNT, UNC3886, Winnti Group",6
T1016,System Network Configuration Discovery,False,,,Discovery,"ESXi, Linux, Network Devices, Windows, macOS","Command Execution
Process Creation",2,"WinEventLog:PowerShell
WinEventLog:Sysmon
auditd:EXECVE
esxi:hostd
macos:unifiedlog
networkdevice:cli",6,"APT1, APT19, APT3, APT32, APT41, APT42, BlackByte, Chimera, Darkhotel, Dragonfly, Earth Lusca, FIN13, GALLIUM, HAFNIUM, HEXANE, Higaisa, Ke3chang, Kimsuky, Lazarus Group, Lotus Blossom, Magic Hound, Medusa Group, Moonstone Sleet, Moses Staff, MuddyWater, Mustang Panda, Naikon, OilRig, Play, Scattered Spider, SideCopy, Sidewinder, Stealth Falcon, TeamTNT, Threat Group-3390, Tropic Trooper, Turla, Volt Typhoon, Wizard Spider, ZIRCONIUM, admin@338, menuPass",42
